               Total   TaxAmt  Freight
CustomerID                            
250          4755.87   380.47   118.90
251         24103.97  1928.32   602.59
252           566.09    45.29    14.15
253         26005.10  2080.40   650.12
254         39000.59  3120.05   975.01
255         35065.19  2805.21   876.62
256         86156.37  6892.51  2153.89
257         17921.02  1433.68   448.02
258         13389.93  1071.19   334.75
259         29750.91  2380.07   743.77
260         26887.11  2150.97   672.18
261         16378.30  1310.26   409.45
